id,way,sender,sendId,senderName,portrait,time,content,mediaType,isDelete
11,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2019-06-14 17:45:57,[抱拳][抱拳][抱拳],文本,否
12,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2019-11-18 14:27:12,"{'title': '<msg><img hdlength=""312733"" length=""135934"" hevc_mid_size=""0"" cdnbigimgurl=""3053020100044c304a02010002049681979c02032f4f560204927ac2dc02045dd239c00425777875706c6f61645f68756179616e39383736353433323131325f313537343035383433320204010438010201000400"" cdnmidimgurl=""3053020100044c304a02010002049681979c02032f4f560204927ac2dc02045dd239c00425777875706c6f61645f68756179616e39383736353433323131325f313537343035383433320204010438010201000400"" aeskey=""a3f4a43b69068ae1531a5fad77115eda"" cdnthumburl=""3053020100044c304a02010002049681979c02032f4f560204927ac2dc02045dd239c00425777875706c6f61645f68756179616e39383736353433323131325f313537343035383433320204010438010201000400"" cdnthumblength=""3475"" cdnthumbwidth=""67"" cdnthumbheight=""120"" cdnthumbaeskey=""a3f4a43b69068ae1531a5fad77115eda"" encryver=""1"" md5=""369670c177186865baf0603663ac3767"" filekey=""huayan98765432112_1574058432"" uploadcontinuecount=""0""/><appinfo><appid></appid><appname></appname><version>0</version><isforceupdate>1</isforceupdate><mediatagname></mediatagname><messageext></messageext><messageaction></messageaction></appinfo></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Img\\4c4992a7bb92c9778c40070ab24d14f8\\12.pic', 'attType': 'pic'}",图片,否
13,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2019-11-18 14:27:18,"{'title': '<msg><img hdlength=""302926"" length=""135212"" hevc_mid_size=""0"" cdnbigimgurl=""3053020100044c304a02010002049681979c02032f4f560204927ac2dc02045dd239c60425777875706c6f61645f68756179616e39383736353433323131335f313537343035383433380204010438010201000400"" cdnmidimgurl=""3053020100044c304a02010002049681979c02032f4f560204927ac2dc02045dd239c60425777875706c6f61645f68756179616e39383736353433323131335f313537343035383433380204010438010201000400"" aeskey=""fb957467c023b7ec83119cd213ee855e"" cdnthumburl=""3053020100044c304a02010002049681979c02032f4f560204927ac2dc02045dd239c60425777875706c6f61645f68756179616e39383736353433323131335f313537343035383433380204010438010201000400"" cdnthumblength=""3417"" cdnthumbwidth=""67"" cdnthumbheight=""120"" cdnthumbaeskey=""fb957467c023b7ec83119cd213ee855e"" encryver=""1"" md5=""240f91b320ecd424905ac2d8422caa0f"" filekey=""huayan98765432113_1574058438"" uploadcontinuecount=""0""/><appinfo><appid></appid><appname></appname><version>0</version><isforceupdate>1</isforceupdate><mediatagname></mediatagname><messageext></messageext><messageaction></messageaction></appinfo></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Img\\4c4992a7bb92c9778c40070ab24d14f8\\13.pic', 'attType': 'pic'}",图片,否
14,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2019-11-18 14:27:36,不是这种的    谢谢,文本,否
15,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2019-11-18 14:27:54,嗯,文本,否
16,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-01-06 15:45:49,显示屏有,文本,否
17,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-01-06 15:45:56,多钱,文本,否
18,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-01-06 15:46:15,老款新款,文本,否
19,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-01-06 15:46:22,老款,文本,否
20,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-01-06 15:46:50,老款不带支架 1720,文本,否
21,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-01-06 15:47:04,好我报价,文本,否
22,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-02-28 11:07:31,王哥  上班了吗,文本,否
23,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-02-28 11:07:44,"{'title': '<msg><voicemsg voicelength=""1140"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\23.amr', 'attType': 'amr'}",音频,否
24,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-02-28 11:08:02,"{'title': '<?xml version=""1.0""?><br><msg><br>\t<img aeskey=""8051137f330c197f4e089fdd17cb28ff"" encryver=""0"" cdnthumbaeskey=""8051137f330c197f4e089fdd17cb28ff"" cdnthumburl=""3055020100044e304c020100020459bb212702033d0af80204b730feb602045e57c7d60427777875706c6f61645f68756179616e393837363534333231313131305f313538323831313039340204010418020201000400"" cdnthumblength=""4771"" cdnthumbheight=""120"" cdnthumbwidth=""120"" cdnmidheight=""0"" cdnmidwidth=""0"" cdnhdheight=""0"" cdnhdwidth=""0"" cdnmidimgurl=""3055020100044e304c020100020459bb212702033d0af80204b730feb602045e57c7d60427777875706c6f61645f68756179616e393837363534333231313131305f313538323831313039340204010418020201000400"" length=""129141"" md5=""cb69de9ea5911e030a0f24e6d4ed8c97"" /><br></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Img\\4c4992a7bb92c9778c40070ab24d14f8\\24.pic', 'attType': 'pic'}",图片,否
25,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-02-28 11:08:21,这个套开关有吗,文本,否
26,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-02-28 11:08:32,"{'title': '<msg><voicemsg voicelength=""3500"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\26.amr', 'attType': 'amr'}",音频,否
27,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-02-28 11:08:36,"{'title': '<msg><voicemsg voicelength=""3200"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\27.amr', 'attType': 'amr'}",音频,否
28,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-02-28 11:08:55,"{'title': '<msg><voicemsg endflag=""1"" cancelflag=""0"" forwardflag=""0"" voiceformat=""4"" voicelength=""4431"" length=""7558"" bufid=""577668939831050820"" clientmsgid=""413134366464623833323037663831005211080228204c4992a379c106"" fromusername=""huayan987654321"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\28.amr', 'attType': 'amr'}",音频,否
29,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-02-28 11:09:21,"{'title': '<msg><voicemsg voicelength=""740"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\29.amr', 'attType': 'amr'}",音频,否
30,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-02-28 11:09:31,"{'title': '<msg><voicemsg endflag=""1"" cancelflag=""0"" forwardflag=""0"" voiceformat=""4"" voicelength=""2268"" length=""3323"" bufid=""292723015219216900"" clientmsgid=""413134366464623833323037663831003111090228204c4992ace5b106"" fromusername=""huayan987654321"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\30.amr', 'attType': 'amr'}",音频,否
31,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-02-28 11:09:38,[抱拳],文本,否
32,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-02-28 12:37:46,"{'title': '<msg><voicemsg endflag=""1"" cancelflag=""0"" forwardflag=""0"" voiceformat=""4"" voicelength=""4357"" length=""7375"" bufid=""579375338761617917"" clientmsgid=""413134366464623833323037663831004412370228204c4992a950b103"" fromusername=""huayan987654321"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\32.amr', 'attType': 'amr'}",音频,否
33,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-02-28 12:38:04,"{'title': '<msg><voicemsg voicelength=""4560"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\33.amr', 'attType': 'amr'}",音频,否
34,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-02-28 12:38:19,"{'title': '<msg><voicemsg endflag=""1"" cancelflag=""0"" forwardflag=""0"" voiceformat=""4"" voicelength=""2223"" length=""3509"" bufid=""288938118216286726"" clientmsgid=""413134366464623833323037663831001912380228204c4992a1cf6100"" fromusername=""huayan987654321"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\34.amr', 'attType': 'amr'}",音频,否
35,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-02-28 12:38:25,[OK],文本,否
36,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-02-28 14:54:37,"{'title': '<msg><voicemsg endflag=""1"" cancelflag=""0"" forwardflag=""0"" voiceformat=""4"" voicelength=""4511"" length=""7754"" bufid=""579812652221399644"" clientmsgid=""413134366464623833323037663831003514540228204c4992adec8100"" fromusername=""huayan987654321"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\36.amr', 'attType': 'amr'}",音频,否
37,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-02-28 14:55:06,"{'title': '<msg><voicemsg voicelength=""920"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\37.amr', 'attType': 'amr'}",音频,否
38,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-02-28 14:55:19,"{'title': '<msg><voicemsg endflag=""1"" cancelflag=""0"" forwardflag=""0"" voiceformat=""4"" voicelength=""2856"" length=""4812"" bufid=""362454197450113601"" clientmsgid=""413134366464623833323037663831001914550228204c4992a890f101"" fromusername=""huayan987654321"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\38.amr', 'attType': 'amr'}",音频,否
39,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-02-28 14:57:47,"{'title': '<msg><voicemsg voicelength=""2640"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\39.amr', 'attType': 'amr'}",音频,否
40,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-02-28 14:58:19,"{'title': '<msg><voicemsg endflag=""1"" cancelflag=""0"" forwardflag=""0"" voiceformat=""4"" voicelength=""5953"" length=""10245"" bufid=""793664051867681279"" clientmsgid=""413134366464623833323037663831001614580228204c4992a3c44101"" fromusername=""huayan987654321"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\40.amr', 'attType': 'amr'}",音频,否
41,2,wxid_m3qsj02x0caq21,wxid_m3qsj02x0caq21,A 8080 奥迪,assets/session/DefaultAvatar.png,2020-02-28 14:59:11,"{'title': '<msg><voicemsg voicelength=""5380"" voiceformat=""4"" forwardflag=""0"" /></msg>', 'attachment': 'data\\2024-丰电-723-J1手机\\CustomBcpStruct\\AppAttach\\WeiXin\\com.tencent.xin\\Documents\\c82df59395db05cf648b0c34979884f6\\Audio\\4c4992a7bb92c9778c40070ab24d14f8\\41.amr', 'attType': 'amr'}",音频,否
42,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-02-28 15:00:00,280,文本,否
43,1,huayan987654321,,北京华奥启元奥迪电器,assets/session/DefaultAvatar.png,2020-02-28 15:00:02,呗,文本,否
